Version Number,Data Type,Code ,Description
,HCPCS,01922,Anesthesia for non-invasive imaging
,HCPCS,01924,Anesthesia for arterial therapeutic interventional radiological procedure
,HCPCS,01925,Anesthesia for carotid artery therapeutic interventional radiological procedure
,HCPCS,01926,Anesthesia for aortic therapeutic interventional radiological procedure
,HCPCS,01930,Anesthesia for lymphatic system interventional radiological procedure
,HCPCS,01931,Anesthesia for creation of transvenous intrahepatic portosystemic shunt
,HCPCS,01932,Anesthesia for intrathoracic venous therapeutic interventional radiological procedure
,HCPCS,01933,Anesthesia for intracranial venous therapeutic interventional radiological procedure
,HCPCS,01935,Anesthesia for percutaneous image guided diagnostic procedure on spine and spinal cord
,HCPCS,01936,Anesthesia for percutaneous image guided therapeutic procedure on spine and spinal cord
,HCPCS,01951,Anesthesia for second and third degree burn debridement
,HCPCS,01952,Anesthesia for second and third degree burn debridement
,HCPCS,01953,Anesthesia for second and third degree burn debridement
,HCPCS,01958,Anesthesia for external cephalic version
,HCPCS,01960,Anesthesia for vaginal delivery
,HCPCS,01961,Anesthesia for cesarean delivery
,HCPCS,01962,Anesthesia for hysterectomy
,HCPCS,01963,Anesthesia for cesarean hysterectomy
,HCPCS,01965,Anesthesia for incomplete abortion
,HCPCS,01966,Anesthesia for induced abortion
,HCPCS,01967,Neuraxial nerve analgesia for vaginal delivery
,HCPCS,01968,Anesthesia for cesarean delivery after neuraxial nerve analgesia
,HCPCS,01969,Anesthesia for cesarean hysterectomy after neuraxial nerve analgesia
,HCPCS,01990,Physiological support for harvesting of organ
,HCPCS,01991,Anesthesia for diagnostic nerve block
,HCPCS,01992,Anesthesia for diagnostic nerve block
,HCPCS,01996,Daily hospital management of epidural continuous drug administration
,HCPCS,01999,Anesthesia for procedure
,HCPCS,10021,Fine needle aspiration
,HCPCS,10022,Fine needle aspiration using imaging guidance
,HCPCS,10030,Percutaneous drainage of fluid of soft tissue with catheter
,HCPCS,10035,"Percutaneous insertion of soft tissue localization device using imaging guidance, first lesion"
,HCPCS,10036,"Percutaneous insertion of soft tissue localization device using imaging guidance, each additional lesion"
,HCPCS,10040,Acne surgery
,HCPCS,10060,Incision and drainage of abscess
,HCPCS,10061,Incision and drainage of abscess
,HCPCS,10080,Incision and drainage of pilonidal cyst
,HCPCS,10081,Incision and drainage of pilonidal cyst
,HCPCS,10120,Incision of subcutaneous tissue with removal of foreign body
,HCPCS,10121,Complicated incision of subcutaneous tissue with removal of foreign body
,HCPCS,10140,Incision and drainage of fluid collection
,HCPCS,10160,Puncture aspiration of abscess
,HCPCS,10180,Incision and drainage of infected wound
,HCPCS,11000,Debridement of eczematous skin
,HCPCS,11001,Debridement of eczematous skin
,HCPCS,11004,"Debridement of infected skin, subcutaneous tissue, muscle and fascia of external genitalia and perineum"
,HCPCS,11005,"Debridement of infected skin, subcutaneous tissue, muscle and fascia of abdominal wall"
,HCPCS,11006,"Debridement of infected skin, subcutaneous tissue, muscle and fascia of external genitalia, perineum and abdominal wall"
,HCPCS,11008,Removal of mesh from infected abdominal wall
,HCPCS,11010,"Debridement of skin and subcutaneous tissue at site of open dislocation, with removal of foreign material"
,HCPCS,11011,"Debridement of skin, subcutaneous tissue, muscle fascia and muscle with removal of foreign material"
,HCPCS,11012,"Debridement of skin, subcutaneous tissue, muscle fascia, bone and muscle with removal of foreign material"
,HCPCS,11042,Debridement of subcutaneous tissue
,HCPCS,11045,Debridement of subcutaneous tissue
,HCPCS,11043,Debridement of fascia
,HCPCS,11046,Debridement of fascia
,HCPCS,11044,Debridement of bone
,HCPCS,11047,Debridement of bone
,HCPCS,11055,Cutting of benign hyperkeratotic lesion
,HCPCS,11056,Cutting of benign hyperkeratotic lesion
,HCPCS,11057,Cutting of benign hyperkeratotic lesion
,HCPCS,11100,Biopsy of mucous membrane
,HCPCS,11101,Biopsy of mucous membrane
,HCPCS,11200,Removal of fibrocutaneous tag
,HCPCS,11201,Removal of fibrocutaneous tag
,HCPCS,11300,Shaving of dermal lesion of trunk
,HCPCS,11301,Shaving of dermal lesion of trunk
,HCPCS,11302,Shaving of dermal lesion of trunk
,HCPCS,11303,Shaving of dermal lesion of trunk
,HCPCS,11305,Shaving of dermal lesion of foot
,HCPCS,11306,Shaving of dermal lesion of foot
,HCPCS,11307,Shaving of dermal lesion of foot
,HCPCS,11308,Shaving of dermal lesion of foot
,HCPCS,11310,Shaving of dermal lesion of ear
,HCPCS,11311,Shaving of dermal lesion of ear
,HCPCS,11312,Shaving of dermal lesion of ear
,HCPCS,11313,Shaving of dermal lesion of ear
,HCPCS,11400,Excision of benign lesion of trunk
,HCPCS,11401,Excision of benign lesion of trunk
,HCPCS,11402,Excision of benign lesion of trunk
,HCPCS,11403,Excision of benign lesion of trunk
,HCPCS,11404,Excision of benign lesion of trunk
,HCPCS,11406,Excision of benign lesion of trunk
,HCPCS,11420,Excision of benign lesion of foot
,HCPCS,11421,Excision of benign lesion of foot
,HCPCS,11422,Excision of benign lesion of foot
,HCPCS,11423,Excision of benign lesion of foot
,HCPCS,11424,Excision of benign lesion of foot
,HCPCS,11426,Excision of benign lesion of foot
,HCPCS,11440,Excision of benign lesion of ear
,HCPCS,11441,Excision of benign lesion of eyelid
,HCPCS,11442,Excision of benign lesion of ear
,HCPCS,11443,Excision of benign lesion of ear
,HCPCS,11444,Excision of benign lesion of ear
,HCPCS,11446,Excision of benign lesion of ear
,HCPCS,11450,Excision of skin and subcutaneous tissue of axilla with repair
,HCPCS,11451,Excision of skin and subcutaneous tissue of axilla with repair
,HCPCS,11462,Excision of skin and subcutaneous tissue of inguinal region with repair
,HCPCS,11463,Excision of skin and subcutaneous tissue of inguinal region with repair
,HCPCS,11470,Excision of skin and subcutaneous tissue of perianal region with repair
,HCPCS,11471,Excision of skin and subcutaneous tissue of perianal region with repair
,HCPCS,11600,Excision of malignant lesion of trunk
,HCPCS,11601,Excision of malignant lesion of trunk
,HCPCS,11602,Excision of malignant lesion of trunk
,HCPCS,11603,Excision of malignant lesion of trunk
,HCPCS,11604,Excision of malignant lesion of trunk
,HCPCS,11606,Excision of malignant lesion of trunk
,HCPCS,11620,Excision of malignant lesion of foot
,HCPCS,11621,Excision of malignant lesion of foot
,HCPCS,11622,Excision of malignant lesion of foot
,HCPCS,11623,Excision of malignant lesion of foot
,HCPCS,11624,Excision of malignant lesion of foot
,HCPCS,11626,Excision of malignant lesion of foot
,HCPCS,11640,Excision of malignant lesion of ear
,HCPCS,11641,Excision of malignant lesion of ear
,HCPCS,11642,Excision of malignant lesion of ear
,HCPCS,11643,Excision of malignant lesion of ear
,HCPCS,11644,Excision of malignant lesion of ear
,HCPCS,11646,Excision of malignant lesion of ear
,HCPCS,11719,Trimming of nondystrophic nail
,HCPCS,11720,Debridement of nail
,HCPCS,11721,Debridement of nail
,HCPCS,11730,Complete avulsion of nail plate
,HCPCS,11732,Complete avulsion of nail plate
,HCPCS,11740,Evacuation of subungual hematoma
,HCPCS,11750,Complete excision of nail and nail matrix
,HCPCS,11755,Biopsy of nail
,HCPCS,11760,Repair of nail bed
,HCPCS,11762,Reconstruction of nail bed with graft
,HCPCS,11765,Wedge excision of skin of nail fold
,HCPCS,11770,Excision of pilonidal cyst
,HCPCS,11771,Excision of pilonidal cyst
,HCPCS,11772,Excision of pilonidal cyst
,HCPCS,11900,Intralesional injection
,HCPCS,11901,Intralesional injection
,HCPCS,11920,Tattooing to correct color defect of skin
,HCPCS,11921,Tattooing to correct color defect of skin
,HCPCS,11922,Tattooing to correct color defect of skin
,HCPCS,11950,Subcutaneous injection of filling material
,HCPCS,11951,Subcutaneous injection of filling material
,HCPCS,11952,Subcutaneous injection of filling material
,HCPCS,11954,Subcutaneous injection of filling material
,HCPCS,11960,Insertion of tissue expander
,HCPCS,11970,Replacement of tissue expander with permanent prosthesis
,HCPCS,11971,Removal of tissue expander
,HCPCS,11976,Removal of implantable contraceptive capsule
,HCPCS,11980,Insertion of estradiol pellets into subcutaneous tissue
,HCPCS,11981,Insertion of non-biodegradable drug delivery implant
,HCPCS,11982,Removal of non-biodegradable drug delivery implant
,HCPCS,11983,Removal and reinsertion of non-biodegradable drug delivery implant
,HCPCS,12001,Repair of wound of axilla
,HCPCS,12002,Repair of wound of axilla
,HCPCS,12004,Repair of wound of axilla
,HCPCS,12005,Repair of wound of axilla
,HCPCS,12006,Repair of wound of axilla
,HCPCS,12007,Repair of wound of axilla
,HCPCS,12011,Repair of wound of ear
,HCPCS,12013,Repair of wound of ear
,HCPCS,12014,Repair of wound of ear
,HCPCS,12015,Repair of wound of ear
,HCPCS,12016,Repair of wound of ear
,HCPCS,12017,Repair of wound of ear
,HCPCS,12018,Repair of wound of ear
,HCPCS,12020,Closure of superficial wound dehiscence
,HCPCS,12021,Packing of superficial wound dehiscence
,HCPCS,12031,Repair of wound of axilla
,HCPCS,12032,Repair of wound of axilla
,HCPCS,12034,Repair of wound of axilla
,HCPCS,12035,Repair of wound of axilla
,HCPCS,12036,Repair of wound of axilla
,HCPCS,12037,Repair of wound of axilla
,HCPCS,12041,Repair of wound of external genitalia
,HCPCS,12042,Repair of wound of external genitalia
,HCPCS,12044,Repair of wound of external genitalia
,HCPCS,12045,Repair of wound of external genitalia
,HCPCS,12046,Repair of wound of external genitalia
,HCPCS,12047,Repair of wound of external genitalia
,HCPCS,12051,Repair of wound of ear
,HCPCS,12052,Repair of wound of ear
,HCPCS,12053,Repair of wound of ear
,HCPCS,12054,Repair of wound of ear
,HCPCS,12055,Repair of wound of ear
,HCPCS,12056,Repair of wound of ear
,HCPCS,12057,Repair of wound of ear
,HCPCS,13100,Repair of trunk
,HCPCS,13101,Repair of trunk
,HCPCS,13102,Repair of trunk
,HCPCS,13120,Repair of scalp
,HCPCS,13121,Repair of scalp
,HCPCS,13122,Repair of scalp
,HCPCS,13131,Repair of axilla
,HCPCS,13132,Repair of axilla
,HCPCS,13133,Repair of axilla
,HCPCS,13151,Repair of ear
,HCPCS,13152,Repair of ear
,HCPCS,13153,Repair of ear
,HCPCS,13160,Secondary closure of surgical wound
,HCPCS,14000,Rearrangement of tissue for repair of defect of trunk
,HCPCS,14001,Rearrangement of tissue for repair of defect of trunk
,HCPCS,14020,Rearrangement of tissue for repair of defect of scalp
,HCPCS,14021,Rearrangement of tissue for repair of defect of scalp
,HCPCS,14040,Rearrangement of tissue for repair of defect of axilla
,HCPCS,14041,Rearrangement of tissue for repair of defect of axilla
,HCPCS,14060,Rearrangement of tissue for repair of defect of ear
,HCPCS,14061,Rearrangement of tissue for repair of defect of ear
,HCPCS,14301,Rearrangement of tissue for repair of defect
,HCPCS,14302,Rearrangement of tissue for repair of defect
,HCPCS,14350,"Filleting of finger flap, including preparation of recipient site"
,HCPCS,15002,Surgical preparation of graft site of trunk by excision of burn eschar
,HCPCS,15003,Surgical preparation of graft site of trunk by excision of burn eschar
,HCPCS,15004,Surgical preparation of graft site of digit by excision of burn eschar
,HCPCS,15005,Surgical preparation of graft site of digit by excision of burn eschar
,HCPCS,15040,Harvest of skin for tissue cultured skin autograft
,HCPCS,15050,Pinch graft
,HCPCS,15100,Split thickness autograft of trunk
,HCPCS,15101,Split thickness autograft of trunk
,HCPCS,15110,Epidermal autograft of trunk
,HCPCS,15111,Epidermal autograft of lower limb
,HCPCS,15115,Epidermal autograft of digit
,HCPCS,15116,Epidermal autograft of digit
,HCPCS,15120,Split thickness autograft of digit
,HCPCS,15121,Split thickness autograft of digit
,HCPCS,15130,Dermal autograft of trunk
,HCPCS,15131,Dermal autograft of trunk
,HCPCS,15135,Dermal autograft of digit
,HCPCS,15136,Dermal autograft of digit
,HCPCS,15150,Tissue cultured skin autograft of trunk
,HCPCS,15151,Tissue cultured skin autograft of trunk
,HCPCS,15152,Tissue cultured skin autograft of trunk
,HCPCS,15155,Tissue cultured skin autograft of digit
,HCPCS,15156,Tissue cultured skin autograft of digit
,HCPCS,15157,Tissue cultured skin autograft of digit
,HCPCS,15200,Full thickness free graft of trunk
,HCPCS,15201,Full thickness free graft of trunk
,HCPCS,15220,Full thickness free graft of scalp
,HCPCS,15221,Full thickness free graft of scalp
,HCPCS,15240,Full thickness free graft of axilla
,HCPCS,15241,Full thickness free graft of axilla
,HCPCS,15260,Full thickness free graft of ear
,HCPCS,15261,Full thickness free graft of ear
,HCPCS,15271,Application of skin substitute graft of trunk
,HCPCS,15272,Application of skin substitute graft of trunk
,HCPCS,15273,Application of skin substitute graft of trunk
,HCPCS,15274,Application of skin substitute graft of trunk
,HCPCS,15275,Application of skin substitute graft of digit
,HCPCS,15276,Application of skin substitute graft of digit
,HCPCS,15277,Application of skin substitute graft of digit
,HCPCS,15278,Application of skin substitute graft of digit
,HCPCS,15570,Formation of direct pedicle graft of trunk
,HCPCS,15572,Formation of direct pedicle graft of scalp
,HCPCS,15574,Formation of direct pedicle graft of axilla
,HCPCS,15576,Formation of direct pedicle graft of ear
,HCPCS,15600,Delay of flap of trunk
,HCPCS,15610,Delay of flap of scalp
,HCPCS,15620,Delay of flap of axilla
,HCPCS,15630,Delay of flap of ear
,HCPCS,15650,Intermediate transfer of pedicle flap graft
,HCPCS,15730,Formation of midface flap graft with preservation of vascular pedicle
